ADM2_PCODE,rfh_mean,rfh_median,rfh_std,rfh_cv,rfh_winter,rfh_spring,rfh_summer,rfh_autumn,r1h_mean,r1h_median,r1h_std,r1h_cv,r1h_winter,r1h_spring,r1h_summer,r1h_autumn,r3h_mean,r3h_median,r3h_std,r3h_cv,r3h_winter,r3h_spring,r3h_summer,r3h_autumn
MA004008,16.079678759398494,19.7236,10.956095330113094,0.6813628240992881,25.17315845771144,18.929650746268656,1.4215,18.613444444444443,48.227706704260655,61.8386,31.046365123613903,0.6437454161773595,79.46946890547264,60.47429900497512,7.241466666666666,45.06667777777778,144.55445325814534,169.8424,82.81358950706247,0.5728885388205507,228.02095472636813,207.48780099502486,69.21818888888889,71.2726888888889
MA007005,11.445848182957395,13.6242,6.825517520349091,0.5963312994586221,17.746864676616916,13.77378631840796,1.731188888888889,12.40081111111111,34.351131954887215,42.9908,19.49247673725286,0.5674478722521289,55.15250820895523,42.71503258706468,7.716177777777779,31.378911111111112,103.2932203007519,119.8325,52.70252300228071,0.5102224797409775,153.45392288557213,145.426892039801,56.88018888888888,56.01347777777777
MA010006,19.961247117794485,21.5633,16.266388813326206,0.8148984237976548,35.00666791044776,19.444237562189056,0.7696222222222222,24.404333333333334,59.84362393483708,68.6225,45.74832039783258,0.7644644055588496,113.1072552238806,63.51704676616916,4.734533333333333,57.15297777777778,179.17779598997495,174.3633,120.29076852787104,0.6713486337034826,329.88960895522393,233.0513194029851,65.33666666666666,85.33381111111112
MA010002,20.100692230576442,24.2383,14.772493097890976,0.7349245950554676,34.19665373134328,22.485637810945274,1.0581222222222224,22.41264444444445,60.28543408521303,74.7543,42.11093726347391,0.6985259026906964,107.46970970149253,73.10793308457711,6.353488888888889,53.301411111111115,180.68266259398493,201.7139,113.23367772388558,0.6266991868408254,299.37586616915416,263.7902082089552,75.31852222222221,81.18846666666667
MA003005,8.840990068922306,9.1215,5.660004775138418,0.6402003317517987,13.06026156716418,9.423406965174127,1.3268999999999997,11.480638888888885,26.547231610275688,32.2821,15.846011303548051,0.596898823055226,40.68580422885573,30.064421766169154,4.807422222222222,30.363766666666663,79.95268699874687,93.1414,42.08157433200166,0.5263309578658841,124.88815199004975,104.47719440298508,33.78082222222223,55.61215555555555
MA009003,6.4903126566416045,5.6222,5.991043720749082,0.9230747481199361,12.593952985074626,5.749826616915423,0.06913333333333334,7.467077777777779,19.474126629072682,20.2963,17.146418494427397,0.8804717572715031,40.432571144278604,19.766640049751246,0.5855888888888888,16.789722222222224,58.54228220551378,57.8407,45.8730810317285,0.7835888746306506,111.34841940298507,86.92230497512439,12.202877777777779,22.465433333333337
MA009002,5.685599561403508,5.0026,4.845469776794018,0.8522354985545092,10.662566666666665,5.234589800995025,0.2925666666666667,6.4841,17.046184210526317,19.2738,13.86501340527218,0.8133793014339415,33.72302263681592,18.13339527363184,1.2263111111111111,14.832855555555554,51.179427694235585,52.9057,37.23225207511458,0.7274847287772251,92.30708009950249,76.32123681592039,14.080233333333332,21.005077777777778
MA009001,7.314170300751879,6.7279,6.385016766594121,0.872965285746458,12.94415696517413,7.436895273631841,0.3100444444444444,8.478422222222223,21.92930664160401,24.9329,18.139929049196663,0.8272003007510421,41.85811492537314,24.87414129353234,1.572655555555556,19.065744444444444,65.70742481203008,71.9353,47.73563347035619,0.7264876626486887,118.41453582089552,98.55093084577113,18.960722222222216,25.60728888888889
MA008001,12.502650689223056,14.2075,10.12034460174033,0.809455918852775,21.819904228855723,12.982699004975125,0.5240777777777778,14.535477777777778,37.46257387218044,48.1992,28.863738162050062,0.7704686351912451,70.22761119402985,42.712904975124374,2.5085222222222225,33.825266666666664,112.18069379699249,116.2775,75.96663660182159,0.6771810195727122,201.5277179104478,155.639142039801,39.72407777777777,49.819633333333336
MA007001,7.955535526315789,9.3392,4.285777687111788,0.5387164286973567,10.428658457711443,10.6195592039801,1.4173888888888888,9.2787,23.882687531328322,29.8863,11.908317739308949,0.49861715620103936,33.16823532338309,31.722123134328363,6.679177777777778,23.701744444444444,71.85842863408521,87.1897,31.131320010080508,0.4332312938348018,97.57576517412934,98.06163009950251,46.89331111111111,44.11633333333333
MA010003,20.98723013784461,21.6627,16.80543544512466,0.8007457551447321,37.20684975124378,20.815444029850745,0.7483777777777778,24.935100000000002,62.89686979949875,69.5098,47.329765631875254,0.7524979507366906,119.53592636815921,67.34366517412934,5.333322222222223,58.44902222222222,188.08850538847116,186.7451,125.99054603824743,0.6698471327529087,340.26789154228857,251.59615572139305,70.42003333333332,86.80195555555555
MA007006,6.928176190476191,7.7465,3.423927662546974,0.4942033182201215,8.287853731343283,9.120652736318409,1.6816222222222224,8.568755555555557,20.82827136591479,24.7302,9.314700582311824,0.4472142895907923,26.560855472636813,26.253636815920398,7.209655555555556,23.11987777777778,63.1156682330827,73.1224,24.31319883489138,0.3852165320519791,82.12762587064678,76.18033756218905,46.38227777777777,47.28642222222223
